,CUSTOMER,,,COMPANY,,,Date
,1,,Questions,,NOTES,,
,1,Company name?,[XYZ] the correct URL?,,,,
,1.1,Responsibilities?,What are the responsibilities?,,,,
,1.2,Existing JD?,Is there an existing JD?,,,,
,1.3,Weekly hours,Hours/wk or range? 20 is the minimum and they *have* to pay for it whether they use them or not,,,,
,1.4,Max pay?,I envision a role like this running $X-$Y. Does that sound OK?,,,,
,1.5,Client budget,"Have you budgeted for this role? (If startup, see inserted note)",,,,
,1.6,Certifications?,Are there any certifications needed?,,,,
,1.7,English level?,Is an accent ok or do they need to sound like they're from the U.S.?,,,,
,1.8,Career Path?,What kind of growth projectory can they see for this role?,,,,
,1.9,Actively recruiting?,"Have you engaged anyone else or are you yourselves trying to fill this role?
For Quilt - is your internal team recruiting for this role? If so, how long before you expect to find someone? ",,,,
,1.10,Number of roles?,Are they hiring for more than 1 role?,,,,
,1.11,Readiness?,"Have hiring manager, CEO and the CFO committed to this role? 
I'll need to speak with the person IN the company closest to this hire.",,,,
,1.12,Manager,Who's the manager and when can I speak with them? I need a deeper understanding of the role,,,,
,1.13,Remote?,Have they ever worked with someone like this (remote) before? +,,,,
,1.14,Qualities?,Are there any qualities that are especially important to have or to avoid?,,,,
,1.15,Tools?,What tools or software are used in the role?,,,,
,1.16,Goals/KPIs,Are they clear on the metrics this person would have?,,,,
,1.17,Reports to? ,Who would this role report to?,,,,
,1.18,Increasing hours?,Any notion as to whether and when the hours may increase?,,,,
,1.19,Culture fit?,What personality are they looking for? How would you describe your culture?,,,,
,1.20,48 hrs time frame,Will you meet a candidate w/i 24-48 hours of when we introduce them to you? ,,,,
,1.21,Interview process?,Someone else they should meet? Possible to meet within 48 hours? ,,,,
,1.22,Hiring decision timeframe,"Our MO is that within 48 hours of the interview, a decision is made and there is sign-off (explain A-players move fast). Does that sound feasible for you?",,,,
,1.23,How pricing works ,"As far as how our pricing works, it's very simple, you pay by hour for the time you use. You pay us and we pay the person ",,,,
,1.24,No buyout,This is a permanent arrangemnet,,,,
,1.25,1-year raise,We'll ask about the possibility of a raise for the staffer at the 1-year mark.,,,,
,1.26,For SDRs only,"Prompt for SDRs: would you consider $5/hr more for an interstellar candidate? 
",,,,
,1.27,Cancelation fee?,Are they willing to pay $250 if they cancel the order?,,,,
,1.28,Up-front fee,"If they've been a ""bad client"" in the past, we'll charge a fee of $1,000 up front",,,,
,3,,Talking points,,,,
,3.1,If hiring an SDR,Clarify what they can expect from us and what we expect from them ,,,,
,3.2,Confirm with team,Let me speak with our recruiting team to confirm when we can plan to have a candidate for you,,,,
,3.3,Wait-period,[If we're at capacity] Announce there's a wait period before getting their order started. ,,,,
,3.4,Onboarding checklist,We require clients to onboard our staffers using this checklist. We'll guide and help them through it.,,,,
,3.5,Our process,"Take client through the presentation (Prezi, client deck)",,,,
,3.6,If hesitancy,"Highlight  the benefits of oversee staff more - no paid holidays, no overhead, no legal, or administrative mess [California clients love us]",,,,
,4,,Josh to-fill post intake,,,,
,4.1,,Loom link,,,,
,4.2,,Key requirements for the role,,,,
,4.4,,# test score needed,,,,
,4.5,,Spoken English level required,,,,
,4.6,,Written English level required,,,,
,4.7,,Assessment for the role,,,,
,4.8,,Rate client confirmed,,,,
,,,Executive Assistant,,,,
,5.1,,Emails: Zero inbox. Screen. Respond. Draft,,,,
,5.2,,Set up Meetings/Optimize calendar,,,,
,5.3,,Facilitate meetings,,,,
,5.4,,Take meeting minutes,,,,
,5.5,,Bill pay - processing bills,,,,
,5.6,,Support your leadership team or Liaise between you and team members,,,,
,5.7,,"Phone: screen calls, make calls",,,,
,5.8,,Social media management,,,,
,5.9,,"Project Mgmt: vendors, clients, internal",,,,
,5.10,,"Presentations: create, graphs, collate info",,,,
,5.11,,"Spreadsheets: gather data, format",,,,
,5.12,,Creating basic reports.,,,,
,5.13,,Travel: Book travel/make other reservations,,,,
,5.14,,"Doc Mgmt: Expense reports, invoicing, intranet",,,,
,5.15,,"Data Entry: CRM, ERP, lists, surveys",,,,
,5.16,,Research,,,,
,5.17,,Customer service,,,,
,5.18,,Email blasts,,,,
,5.19,,"Shopping: researching lowest price for softwares, office supplies, gifts.",,,,
,5.20,,Outreach Specialist ,,,,
,5.21,,Lead Generation Expert,,,,
,5.22,,Online Community Manager,,,,
,5.23,,Podcast Management,,,,
,5.24,,Tradeshows,,,,
,5.25,,"Personal Matters (paying caregivers, setting up appointments etc)",,,,
,5.26,,"Transcription (transcribing voicemail, video or audio, podcasts etc.)",,,,
,,,Project Manager,,,,
,6.1,,What type of projects will the PM manage? ,,,,
,6.2,,What stage of the project is the PM coming in at?,,,,
,,,Sales,,,,
,7.1,,Is any geographic location relevant?,,,,
